jockey,raceDist,track,surface,trackCondition,raceType,purse,claimPrice,adamSpeedInMPH
ORTIZ IRAD JR,1760,AQU,T,TF,S,60000,NA,35.92814371257485
ORTIZ IRAD JR,1430,BEL,D,FT,S,75000,NA,36.47586980920314
HAMILTON S D,1870,LRL,T,FM,S,40000,NA,37.63652464823379
HAMILTON S D,1760,LRL,T,FM,S,40000,NA,37.336652146857496
LANERIE C J,990,CD,D,FT,S,44000,NA,39.175856065002904
ORTIZ JOSE L,1980,KEE,T,TF,A,72000,NA,36.35221254824522
ORTIZ JOSE L,1870,GP,T,FM,AO,58000,NA,38.00675675675676
VELAZQUEZ J R,1870,GP,T,FM,AO,48000,NA,37.22627737226278
CARMOUCHE K,1760,BEL,T,TF,N,100000,NA,35.910224438902745
CARMOUCHE K,1870,BEL,t,YL,G3,200000,NA,36.21130360692985
KARAMANOS H A,1760,LRL,T,FM,S,40000,NA,36.50005069451486
KARAMANOS H A,1540,LRL,D,FT,AO,45000,NA,38.10791192838133
KARAMANOS H A,1320,LRL,D,FT,N,75000,NA,38.815411155836685
KARAMANOS H A,1210,LRL,D,FT,A,42000,NA,38.97024090694379
KARAMANOS H A,1320,LRL,D,GD,CO,28000,NA,37.390943082675534
KARAMANOS H A,1320,LRL,D,SY,M,27000,25000,38.27072997873849
SERPA ANGEL,1210,LRL,T,FM,M,27000,25000,38.65375605185069
MARAGH RAJIV,1430,AQU,D,FT,AO,80000,NA,38.11571540265833
MARAGH RAJIV,1320,AQU,d,GD,AO,78000,NA,38.374076179647524
MARAGH RAJIV,1540,LRL,D,FT,G3,250000,NA,38.48973607038123
MARAGH RAJIV,1320,AQU,d,FT,G3,125000,NA,38.049605411499435
ROSARIO JOEL,1320,AQU,D,FT,AO,81000,NA,38.49443969204448
LEZCANO JOSE,1320,BEL,D,GD,AO,90000,NA,37.88941902890822
BRAVO J,1980,RP,D,FT,G3,400000,NA,36.41104018699991
STEVENS G L,1540,SAR,D,FT,G1,500000,NA,37.8742334976554
ORTIZ IRAD JR,1540,BEL,D,FT,AO,80000,NA,37.72455089820359
VELASQUEZ CORNELIO,1540,BEL,D,FT,G2,500000,NA,38.311846266115296
ARROYO ANGEL S,1540,BEL,T,TF,N,150000,NA,37.55364806866953
ARROYO ANGEL S,1320,AQU,d,GD,AO,78000,NA,38.43963553530752
MCCARTHY TREVOR,1540,LRL,D,FT,G3,250000,NA,38.52268558150911
MCCARTHY TREVOR,1540,LRL,D,GD,AO,47000,NA,37.6659093626689
MCCARTHY TREVOR,1540,LRL,D,FT,N,100000,NA,37.67041377660846
LYNCH F,1320,PIM,D,MY,N,100000,NA,36.73969247516669
LYNCH F,1980,LRL,D,GD,N,100000,NA,35.50140252454418
MCCARTHY TREVOR,1760,LRL,D,FT,N,75000,NA,35.83159151985668
MCCARTHY TREVOR,1540,LRL,D,GD,N,75000,NA,37.535748331744514
MCCARTHY TREVOR,1540,LRL,D,FT,N,100000,NA,37.17252773188577
BRAVO J,1540,KEE,D,FT,G3,250000,NA,38.1725642268541
BRAVO J,1320,SA,D,FT,G1,1500000,NA,38.89369057908384
BRAVO J,1320,KEE,D,FT,G2,250000,NA,39.456378781236296
BRAVO J,1540,SAR,D,FT,G1,700000,NA,38.893690579083845
BRAVO J,1320,SAR,D,FT,G1,350000,NA,39.560439560439555
BRAVO J,1540,BEL,D,FT,G3,400000,NA,38.693035253654344
BRAVO J,1540,PRX,D,FT,N,100000,NA,38.274605103280685
CENTENO D E,1320,MTH,D,FT,N,75000,NA,38.77638948728996
CENTENO D E,1320,KEE,D,SY,G3,250000,NA,38.16254416961131
LEZCANO JOSE,1320,SAR,D,FT,N,100000,NA,38.820992092020134
FRANCO MANUEL,1430,AQU,D,FT,AO,69000,NA,37.43760399334443
ESPINOZA V,2200,CD,D,FT,G1,2000000,NA,35.41912632821723
ORTIZ IRAD JR,1980,OP,D,FT,G1,1000000,NA,36.63500678426052
ORTIZ IRAD JR,1870,OP,D,FT,G2,900000,NA,36.7682399307892
SMITH M E,1870,OP,D,GD,G3,500000,NA,36.23874940786358
OSORIO DIDIEL A,1320,OP,D,FT,AO,70000,NA,38.259883803315866
ALBARADO R J,1870,DED,D,MY,G3,1000000,NA,35.16594649259907
SMITH M E,1320,OP,D,FT,G3,400000,NA,39.181541140618194
CONTRERAS LUIS,1320,OP,D,FT,N,125000,NA,38.59348198970841
SANTANA RICARDO JR,1320,FG,D,MY,N,75000,NA,38.49443969204448
BRIDGMOHAN S X,1320,CD,D,FT,N,80000,NA,38.86569742334821
VELAZQUEZ J R,1320,BEL,D,MY,G1,350000,NA,38.67640739149119
VELAZQUEZ J R,1320,SAR,D,FT,G1,350000,NA,39.46214557147033
VELAZQUEZ J R,1320,BEL,D,FT,G2,250000,NA,39.60105602816075
SANTANA RICARDO JR,1540,CD,D,FT,G2,500000,NA,38.82178949963028
GEROUX FLORENT,1540,KEE,D,FT,G3,250000,NA,38.37251796808381
SANTANA RICARDO JR,1320,KEE,D,FT,G1,1500000,NA,39.09077747212972
TOLEDO JEVIAN,1210,LRL,T,FM,A,50000,NA,39.41082802547771
QUINONES CARLOS,1540,PRX,D,FT,A,55000,NA,37.23404255319149
TOLEDO JEVIAN,1320,LRL,D,FT,N,75000,NA,38.67640739149119
TOLEDO JEVIAN,1540,CT,D,FT,A,30000,NA,36.950146627565985
LYNCH F,1320,LRL,D,GD,N,75000,NA,38.01745987045903
TOLEDO JEVIAN,1320,LRL,D,FT,N,75000,NA,38.357721267225465
TOLEDO JEVIAN,1320,LRL,D,FT,G3,250000,NA,37.40648379052369
TOLEDO JEVIAN,1980,PIM,T,FM,N,75000,NA,36.77472078452738
TOLEDO JEVIAN,1320,PIM,D,MY,G3,150000,NA,37.87878787878788
TOLEDO JEVIAN,1980,CT,D,FT,G2,1250000,NA,36.26432664756447
HOLE T M,1540,CT,D,FT,N,50000,NA,36.816269284712476
HOLE T M,1760,LRL,D,FT,N,75000,NA,37.08281829419035
HOLE T M,1320,LRL,D,FT,N,75000,NA,38.532895675752826
HOLE T M,1320,LRL,D,FT,G3,250000,NA,38.18413237165889
HOLE T M,1540,CT,D,SY,A,27000,NA,36.799065420560744
HOLE T M,1540,LRL,D,SY,N,75000,NA,37.62092439985668
HOLE T M,1320,LRL,T,TF,N,75000,NA,37.520844913841024
HOLE T M,1320,MNR,D,FT,N,100000,NA,38.374076179647524
HOLE T M,1210,LRL,T,FM,A,55000,NA,40.30288226673181
HOLE T M,1540,PRX,D,FT,N,100000,NA,37.99300446267036
VELAZQUEZ J R,1540,AQU,D,FT,G1,400000,NA,36.36573539598245
GAFFALIONE TYLER,1760,GP,D,FT,G2,350000,NA,37.543018041505896
GAFFALIONE TYLER,1320,GP,D,FT,N,100000,NA,38.7875305272231
LEPAROUX JULIEN R,1540,SA,D,FT,G1,300000,NA,38.64082433758587
GAFFALIONE TYLER,1320,MVR,D,MY,N,200000,NA,37.76223776223776
GAFFALIONE TYLER,1760,GP,D,GD,N,150000,NA,37.174721189591075
GAFFALIONE TYLER,1540,GP,D,FT,N,150000,NA,38.00675675675676
GAFFALIONE TYLER,1320,GP,D,FT,N,150000,NA,38.211151995471276
GAFFALIONE TYLER,1540,GP,D,FT,G3,150000,NA,38.32116788321168
TRUJILLO E,1430,GP,D,FT,N,75000,NA,38.061158100195186
HAMILTON S D,1870,LRL,T,FM,AO,45000,NA,37.43027693512086
CINTRON ALEX,1210,LRL,T,TF,AO,45000,NA,37.262872628726285
CRUZ ANGEL,1760,LRL,T,FM,C,32000,35000,37.45708042867548
BOYCE FOREST,1210,LRL,T,FM,AO,45000,NA,39.49888285987871
CRUZ ANGEL,1210,LRL,T,FM,N,60000,NA,39.4359464627151
RODRIGUEZ ANGEL,1100,PEN,T,FM,A,29500,NA,39.260164020240794
CARMOUCHE K,1540,SAR,D,SY,C,47000,40000,34.8605577689243
LYNCH F,1100,PIM,T,FM,S,30000,NA,38.468114207556845
KARAMANOS H A,1870,PIM,T,FM,S,40000,NA,37.121506211180126
BRAVO J,1870,MTH,T,FM,M,20500,40000,36.136041568256964
MURRILL MITCHELL,2420,BEL,T,YL,G2,200000,NA,35.43814432989691
BRAVO J,2200,SA,T,FM,G1,2000000,NA,38.06462527491118
GEROUX FLORENT,2200,SA,T,FM,G1,300000,NA,37.933069206777375
BRAVO J,2090,AP,T,FM,G1,700000,NA,37.1125965795642
GEROUX FLORENT,1870,PRX,T,FM,G3,200000,NA,37.71445474265431
MURRILL MITCHELL,1870,CD,T,FM,G3,100000,NA,37.692156089869925
GEROUX FLORENT,1760,CD,T,FM,G2,300000,NA,37.80321327312821
MURRILL MITCHELL,1760,FG,T,FM,AO,43000,NA,36.76095170019401
PRAT FLAVIEN,1980,DMR,T,FM,G1,300000,NA,37.220843672456574
BEJARANO R,1760,DMR,T,FM,AO,72000,NA,37.65296517100722
MCCARTHY TREVOR,1760,LRL,T,YL,N,75000,NA,37.1900826446281
MCCARTHY TREVOR,1870,AQU,T,TF,N,125000,NA,36.543422184006886
PRAT FLAVIEN,1760,SA,T,FM,G3,100000,NA,38.40409643695328
VELAZQUEZ J R,1870,BEL,T,FM,AO,77000,NA,37.72933517459065
*BAKER G,2200,NKT,T,TF,N,6574,NA,35.26369406786302
*BAKER G,1980,SNP,T,TF,N,7201,NA,33.78378378378378
*KELLY S W,1760,LNG,D,FT,S,7801,NA,36.596523330283624
ALLEN R D JR,1760,TAM,T,FM,AO,24500,62500,37.297969332780774
DE LA CRUZ FERNANDO,1870,TAM,T,TF,AO,27500,100000,37.41197183098591
DE LA CRUZ FERNANDO,1760,TAM,T,FM,AO,25500,75000,37.34439834024896
DE LA CRUZ FERNANDO,1100,TAM,T,FM,AO,27500,100000,39.61267605633803
MOJICA O,1760,IND,T,FM,AO,38000,62500,37.11722858026601
SANJUR SANTO,1100,AP,T,FM,AO,25000,50000,39.55000878889084
MARQUEZ C H JR,1430,AP,D,FT,AO,28500,NA,37.87878787878788
MARQUEZ C H JR,1320,AP,D,FT,AO,34000,NA,38.221970554926386
MARQUEZ C H JR,1320,AP,D,FT,N,54500,NA,37.57828810020877
MARQUEZ C H JR,1540,AP,D,FT,AO,34000,NA,37.72003352891869
GEROUX FLORENT,1870,KEE,T,FM,A,74000,NA,37.306154296303525
GEROUX FLORENT,1870,SAR,T,FM,G2,200000,NA,37.818864939687565
GEROUX FLORENT,1980,CD,T,FM,G3,100000,NA,36.798110121751776
GEROUX FLORENT,1870,PIM,T,FM,N,100000,NA,37.61801730920535
BRAVO J,1980,KEE,T,SF,A,62000,NA,35.238841033672664
LEPAROUX JULIEN R,1870,GP,T,FM,G3,150000,NA,37.04241719930273
LEPAROUX JULIEN R,1980,GP,T,FM,S,50000,NA,36.29032258064516
CARRASCO VICTOR R,1870,LRL,T,SF,S,40000,NA,36.17363344051447
ORTIZ JOSE L,1760,SAR,t,FM,N,100000,NA,37.60183831209526
ORTIZ JOSE L,1760,BEL,T,FM,AO,77000,NA,38.74717468517921
ORTIZ JOSE L,1870,BEL,T,TF,S,85000,NA,37.33164161624049
ORTIZ JOSE L,1540,BEL,T,FM,S,75000,NA,37.344398340248965
ORTIZ JOSE L,1870,SAR,T,FM,S,83000,NA,36.853261393197805
ROSARIO JOEL,1980,TAM,T,FM,G2,200000,NA,37.91424826811459
ROSARIO JOEL,1980,GP,T,FM,G3,150000,NA,38.36680560818492
ROSARIO JOEL,1980,GP,T,FM,AO,45000,NA,37.850467289719624
VELAZQUEZ J R,1980,BEL,t,FM,G2,500000,NA,37.33407079646018
CASTELLANO J J,1980,SAR,t,FM,G2,300000,NA,37.12530937757815
CASTELLANO J J,1870,SAR,T,FM,G2,200000,NA,38.048343777976726
CASTELLANO J J,1980,BEL,t,FM,N,200000,NA,37.41339491916859
CASTELLANO J J,1870,BEL,t,FM,AO,80000,NA,37.77404700770294
*PASQUIER S,1531,CHY,T,SF,S,28288,NA,35.22599447796298
QUINONEZ ALONSO,1210,TP,D,FT,AO,22300,40000,37.290944703932496
QUINONEZ ALONSO,1760,TP,D,FT,AO,22300,40000,35.81733160879515
SPIETH S,1100,TAM,T,FM,N,100000,NA,39.58479943701618
SPIETH S,1100,TAM,T,FM,AO,27500,NA,39.68953960134063
RIVERA L R,1320,TDN,D,SY,A,27000,NA,37.07263490319924
COLON LUIS H,1210,PID,D,FT,A,33000,NA,38.569424964936886
COLON LUIS H,1760,IND,T,FM,N,200000,NA,36.78724708767627
COLON LUIS H,1210,TDN,D,GD,A,24500,NA,38.515406162464984
COLON LUIS H,1430,PID,D,FT,A,29000,NA,38.15051519499152
COLON LUIS H,1210,PID,D,FT,A,28000,NA,38.76879699248121
CINTRON ALEX,1760,KEE,T,FM,A,76000,NA,37.38705992314882
CINTRON ALEX,1980,KEE,T,FM,G1,500000,NA,36.032028469750884
CINTRON ALEX,1760,IND,T,FM,N,200000,NA,37.862852334875896
CINTRON ALEX,1760,IND,T,FM,N,100000,NA,36.82487725040916
CINTRON ALEX,1870,PIM,T,FM,N,60000,NA,37.34986817693584
VELAZQUEZ J R,1870,PIM,T,TF,S,50000,NA,36.071293851376836
LEPAROUX JULIEN R,1870,KEE,T,FM,S,60000,NA,35.95262712660965
VELAZQUEZ J R,1980,GP,T,FM,S,50000,NA,36.92896872435489
FRANCO MANUEL,1760,BEL,D,MY,S,75000,NA,34.31185665268776
SAEZ LUIS,1320,SAR,D,FT,S,83000,NA,36.02882305844676
DECARLO C P,1760,LRL,T,YL,N,75000,NA,37.12105588781192
GEROUX FLORENT,1870,FG,T,FM,N,75000,NA,38.090021907986454
ALBARADO R J,1870,FG,T,SF,N,75000,NA,36.3904481019884
GEROUX FLORENT,1870,FG,T,FM,AO,42000,NA,37.61801730920535
MCCARTHY TREVOR,1870,LRL,T,FM,A,42000,NA,37.41197183098591
CRUZ M R,1760,TAM,T,FM,S,23000,NA,37.18240033051023
ROCCO J S JR,1870,CD,D,FT,S,55000,NA,36.13945578231292
ROCCO J S JR,1760,CD,D,FT,S,55000,NA,36.5296803652968
ROCCO J S JR,1540,KEE,D,FT,S,56000,NA,36.67481662591686
HAMILTON S D,1760,LRL,D,FT,AO,42000,NA,37.32503888024883
HAMILTON S D,1760,LRL,D,FT,S,40000,NA,37.00657894736842
HAMILTON S D,1320,LRL,D,FT,S,40000,NA,38.001407459535535
VALDIVIA J JR,1980,HAW,D,FT,G3,250000,NA,37.5
ORTIZ JOSE L,1980,SUN,D,FT,G3,800000,NA,37.050590064952885
CASTELLANO J J,1870,GP,D,FT,S,46000,NA,36.4459266317294
CASTELLANO J J,1320,GP,D,FT,S,42000,NA,37.359900373599004
HAMILTON S D,1870,LRL,D,FT,N,100000,NA,35.97629796839729
DAVIS KATIE,1760,LRL,D,FT,AO,42000,NA,36.68229060525779
HAMILTON S D,1540,LRL,D,FT,M,33000,35000,36.492122335495836
HAMILTON S D,1540,LRL,D,MY,M,27000,25000,35.987661373243455
HAMILTON S D,1320,LRL,D,FT,M,27000,25000,36.33427533306419
THORPE DARIUS,1210,LRL,D,FT,M,27000,25000,36.163062536528344
ALBARADO R J,1980,KEE,D,FT,A,72000,NA,35.81851950119396
GRAHAM J,1830,FG,D,FT,AO,43000,NA,36.141564335056664
ALBARADO R J,1760,FG,D,FT,AO,43000,NA,36.17726861621947
ALBARADO R J,1830,FG,D,FT,AO,43000,NA,35.60526793666716
ALBARADO R J,1870,CD,D,FT,AO,60000,NA,36.60637381567614
HERNANDEZ B J JR,1870,KEE,D,GD,A,62000,NA,36.03391427225624
HERNANDEZ B J JR,1760,CD,D,MY,S,43000,NA,36.61141055629004
HERNANDEZ B J JR,1760,ELP,D,FT,S,38000,NA,36.93444136657433
HERNANDEZ B J JR,1320,ELP,D,FT,S,38000,NA,38.097925779596444
ALBARADO R J,1210,CD,D,SY,S,46500,NA,37.55690440060698
ORTIZ JOSE L,1870,CD,D,SY,AO,67000,NA,36.27655538694992
ALBARADO R J,1540,KEE,D,FT,S,70000,NA,37.535748331744514
LOPEZ PASCACIO,1980,AQU,D,FT,G2,750000,NA,36
CARMOUCHE K,1870,AQU,d,FT,G3,300000,NA,35.315298679715625
CARMOUCHE K,1870,AQU,d,FT,G3,250000,NA,36.3904481019884
CARMOUCHE K,1830,AQU,d,MY,G3,150000,NA,34.65267374728585
CARMOUCHE K,1320,AQU,d,FT,S,60000,NA,36.925601750547045
ROSARIO JOEL,1320,AQU,D,FT,S,60000,NA,37.225975458430995
PRADO E S,1870,KEE,D,FT,G3,200000,NA,36.228452358401206
PRADO E S,1540,GP,D,FT,S,56000,NA,38.48973607038123
PRADO E S,1540,GP,D,FT,S,46000,NA,37.08500117730163
GEROUX FLORENT,1870,KEE,D,FT,G3,200000,NA,33.68560105680317
GEROUX FLORENT,1830,FG,D,FT,AO,43000,NA,36.447729485704166
GEROUX FLORENT,1760,FG,D,FT,AO,43000,NA,36.13732182292712
GEROUX FLORENT,1760,CD,D,FT,AO,60000,NA,36.596523330283624
SANTANA RICARDO JR,1540,CD,D,FT,S,58000,NA,37.229641886301856
LEZCANO JOSE,1870,KEE,T,FM,A,76000,NA,37.426614481409
ORTIZ JOSE L,1980,GP,T,FM,AO,50000,NA,37.330629551110704
VELAZQUEZ J R,1650,GP,T,FM,N,100000,NA,37.288697381504804
ORTIZ JOSE L,1760,AQU,T,FM,AO,69000,NA,37.625418060200666
ORTIZ JOSE L,1870,BEL,T,FM,AO,80000,NA,37.614318025371226
ROSARIO JOEL,1870,SAR,T,FM,A,95000,NA,37.95019347157456
ROSARIO JOEL,1870,BEL,t,FM,A,77000,NA,38.20797123164519
ORTIZ JOSE L,1870,BEL,t,TF,A,77000,NA,36.32478632478633
VELAZQUEZ J R,1870,BEL,D,SY,A,104400,NA,36.03051996985682
VELAZQUEZ J R,1760,SAR,t,FM,A,85000,NA,37.4726761736234
HAMILTON S D,1760,LRL,T,YL,N,75000,NA,37.22854188210962
CARRASCO VICTOR R,1870,LRL,T,FM,AO,47000,NA,37.94266441821247
CENTENO D E,1760,LRL,T,FM,G2,200000,NA,38.50267379679145
CARRASCO VICTOR R,1870,LRL,T,FM,AO,45000,NA,37.927615270203276
CARRASCO VICTOR R,1870,PIM,T,FM,C,32000,35000,37.13592233009709
CARRASCO VICTOR R,1870,PIM,D,FT,AO,55000,NA,36.1531190926276
CARRASCO VICTOR R,1870,LRL,D,FT,AO,47000,NA,36.23874940786358
CARRASCO VICTOR R,1760,LRL,D,FT,AO,45000,NA,36.813580120666735
CARRASCO VICTOR R,1870,LRL,D,FT,AO,45000,NA,35.94249201277955
CARRASCO VICTOR R,1760,LRL,D,FT,A,42000,NA,37.151702786377705
ROSARIO JOEL,1870,KEE,T,FM,A,78000,NA,37.48529988239906
ROSARIO JOEL,1760,GP,T,FM,G3,150000,NA,38.718003871800384
*CHEMINAUD V,1531,LCP,T,TF,G3,89200,NA,39.03753314748079
*CHEMINAUD V,1750,DVL,T,TF,N,60362,NA,36.055050912021095
*CHEMINAUD V,1422,CHY,D,FT,A,40820,NA,37.54532546322917
*CHEMINAUD V,1422,MLF,T,TF,N,61947,NA,36.8135218787035
*CHEMINAUD V,1422,CHY,D,FT,A,32320,NA,37.569573283859
*CHEMINAUD V,1312,CHY,T,SF,G3,84843,NA,38.48059024428397
*GUYON M,1422,CHY,D,FT,N,57905,NA,37.59385244456977
*GUYON M,1422,CHY,D,FT,A,36178,NA,37.72061164098513
CASTANON J L,1760,CD,T,TF,N,65000,NA,37.10192723899824
GRAHAM J,1980,FG,T,TF,G2,300000,NA,37.244804119919074
GUTIERREZ MARIO,1980,FG,T,FM,G3,125000,NA,37.13552173115716
ALBARADO R J,1870,FG,T,SF,G3,125000,NA,36.53644092081384
ALBARADO R J,1760,FG,T,FM,N,75000,NA,37.50781412794332
ALBARADO R J,1870,CD,T,FM,G3,100000,NA,36.78945849764355
ALBARADO R J,1980,CD,D,WF,N,100000,NA,36.74135897668512
MOJICA O,1760,CBY,T,TF,N,200000,NA,36.10470364055762
ALBARADO R J,2200,AP,T,FM,G1,450000,NA,36.83391994761398
ALBARADO R J,1980,AP,T,FM,G3,125000,NA,37.203747933125115
CINTRON ALEX,1760,LRL,T,YL,N,75000,NA,37.08663850829299
PEREZ XAVIER,1980,LRL,D,FT,N,100000,NA,35.90425531914893
PEREZ XAVIER,1980,LRL,D,FT,N,151500,NA,35.739498764560544
PIMENTEL J,1980,LRL,T,FM,G2,250000,NA,37.17642739122452
PIMENTEL J,1980,LRL,T,FM,N,60000,NA,36.99305809280234
PEREZ XAVIER,2640,DEL,T,FM,N,50000,NA,34.88822845328854
PEREZ XAVIER,1870,PIM,T,FM,G2,300000,NA,37.614318025371226
PEREZ XAVIER,1760,PIM,T,FM,N,100000,NA,37.464876678114265
PEREZ XAVIER,1760,LRL,D,FT,AO,50000,NA,37.4025974025974
ROSARIO JOEL,1760,KEE,T,FM,G1,300000,NA,37.89872618170334
ORTIZ JOSE L,1760,AQU,T,TF,N,150000,NA,37.20161206985636
BRAVO J,1980,BEL,t,YL,G3,200000,NA,36.46349149185198
MCCARTHY TREVOR,1760,LRL,T,FM,G2,200000,NA,38.5315209247565
BRAVO J,1870,MTH,T,YL,G3,150000,NA,36.20787580461946
ALVARADO JUNIOR,1760,BEL,T,FM,AO,90000,NA,38.68887694787748
ORTIZ IRAD JR,1870,BEL,T,FM,AO,85000,NA,38.395904436860064
SAEZ GABRIEL,1980,BEL,t,YL,G3,150000,NA,36.26432664756447
ALVARADO JUNIOR,1870,BEL,t,TF,AO,102000,NA,37.08551483420593
ORTIZ IRAD JR,1870,BEL,t,FM,AO,85000,NA,37.573673870333984
ORTIZ IRAD JR,1760,AQU,T,YL,N,100000,NA,37.36377789309809
ORTIZ JOSE L,1870,TAM,T,FM,G3,150000,NA,37.8413138108429
CASTELLANO J J,1870,AQU,T,TF,N,125000,NA,36.51551312649164
CASTELLANO J J,1760,BEL,T,SF,N,100000,NA,36.83241252302026
CASTELLANO J J,1980,SAR,D,FT,AO,85000,NA,36.572150984287525
ORTIZ IRAD JR,1760,SAR,t,FM,AO,85000,NA,37.49609415685865
LEPAROUX JULIEN R,1870,KEE,T,TF,G3,100000,NA,36.97080997486952
ORTIZ IRAD JR,1760,BEL,T,FM,S,75000,NA,38.12751535691591
ROSARIO JOEL,1760,BEL,T,FM,AO,90000,NA,38.86849492550205
LANERIE C J,1870,KEE,T,FM,A,76000,NA,37.38637474342684
BRAVO J,1870,GP,T,FM,AO,50000,NA,37.37541528239202
BRAVO J,1870,GP,T,FM,AO,50000,NA,37.96902918403812
HERNANDEZ RAFAEL MANUEL,1870,WO,D,FT,A,74500,NA,37.020905923344955
LEPAROUX JULIEN R,1870,SAR,T,FM,N,100000,NA,37.75540420491561
LEPAROUX JULIEN R,1870,IND,T,FM,N,100000,NA,37.90506391834308
BRAVO J,1870,CD,T,FM,G2,200000,NA,37.68472906403941
LEZCANO JOSE,1870,PIM,T,TF,G2,250000,NA,36.38352515932655
BRAVO J,1760,KEE,T,FM,G1,300000,NA,37.78337531486145
BEJARANO R,1760,SA,T,FM,G1,400000,NA,38.23685608072225
BEJARANO R,1760,SA,T,TF,G2,200000,NA,38.03486529318541
VAN DYKE DRAYDEN,1980,SA,D,SY,G3,200000,NA,36.641635754998646
VAN DYKE DRAYDEN,1870,DMR,T,FM,G2,200000,NA,37.393684622152705
VELAZQUEZ J R,1760,SA,T,FM,G1,2000000,NA,39.03285265098124
ALVARADO JUNIOR,1760,KEE,T,FM,G1,1000000,NA,36.97237342097156
VELAZQUEZ J R,1870,SAR,T,FM,G2,250000,NA,38.9154542679825
VELAZQUEZ J R,1760,SAR,t,FM,G1,500000,NA,37.91868548556984
VELAZQUEZ J R,1870,PIM,T,TF,G2,250000,NA,36.49809160305343
VAN DYKE DRAYDEN,1760,SA,T,FM,G1,400000,NA,38.718003871800384
ORTIZ IRAD JR,1980,AQU,D,FT,G2,750000,NA,36.17040278646066
FRANCO MANUEL,1870,AQU,d,FT,G3,300000,NA,35.79114812388884
FRANCO MANUEL,1320,AQU,d,FT,S,60000,NA,37.862852334875896
GEROUX FLORENT,2200,CD,D,WF,G1,2000000,NA,35.59563360227812
VELAZQUEZ J R,2200,CD,D,WF,G1,2000000,NA,36.41071284084473
LEPAROUX JULIEN R,2200,CD,D,WF,G1,2000000,NA,36.02593867584661
CASTELLANO J J,2200,CD,D,WF,G1,2000000,NA,35.82517315500358
BAZE T C,1980,SA,D,FT,G1,1000000,NA,36.12845673505798
BAZE T C,1870,SA,D,FT,G2,400000,NA,36.94581280788177
BAZE T C,1870,SA,D,FT,G3,150000,NA,36.64846220178212
TALAMO JOSEPH,1760,SA,D,SY,G3,100000,NA,36.548223350253814
TALAMO JOSEPH,1760,DMR,D,GD,G3,100000,NA,35.401711082702334
TALAMO JOSEPH,1870,SA,D,FT,G1,2000000,NA,36.25592417061612
TALAMO JOSEPH,1760,SA,D,FT,S,52000,NA,36.37098403717923
TALAMO JOSEPH,1760,DMR,D,FT,S,60000,NA,36.596523330283624
TALAMO JOSEPH,1320,DMR,D,FT,S,63000,NA,37.92667509481669
CARRENO J,1980,OP,D,FT,G1,1000000,NA,37.15596330275229
CARRENO J,1980,SUN,D,FT,G3,800000,NA,37.275655775425676
CARRENO J,1870,SUN,D,FT,N,100000,NA,37.09270752521334
CARRENO J,1760,SUN,D,FT,N,100000,NA,37.336652146857496
CARRENO J,1760,SUN,D,FT,S,21500,NA,36.27935100272096
SHAFFER SARAH,1320,PEN,D,GD,R,17100,NA,37.72003352891869
GLASER LAURALEA,1320,LRL,D,FT,A,42000,NA,37.94266441821247
GLASER LAURALEA,1210,LRL,D,FT,C,15000,5000,38.671875
MANCILLA O G,1210,LRL,D,FT,C,15000,5000,37.72865853658537
GREEN AMELIA,1540,LRL,D,FT,A,40000,NA,35.23884103367267
MANCILLA O G,1320,PIM,D,FT,A,42000,NA,36.42250101173614
MARTINEZ FRAY,1320,PIM,D,FT,A,42000,NA,37.55737932953123
MARTINEZ FRAY,1320,PIM,D,FT,C,15000,5000,37.809830555944544
MARTINEZ FRAY,1210,LRL,D,SY,R,25000,NA,36.22127908678472
GONZALEZ KEVIN,1210,LRL,D,FT,C,17000,7500,37.26848366209908
TORRES JOMAR,1320,LRL,D,FT,C,15000,5000,37.70423125261835
QUINONES CARLOS,1320,LRL,D,FT,C,15000,5000,37.73057574063722
CARROW ANNA,1320,LRL,D,FT,C,15000,4500,37.04211826039237
CARROW ANNA,1320,LRL,D,FT,C,15000,5000,37.69370375540975
CARROW ANNA,1540,LRL,D,FT,C,15000,5000,36.77758318739054
CARROW ANNA,1540,LRL,D,FT,C,15000,5000,36.81196681079818
FELICIANO D,1870,LRL,T,FM,C,23000,15000,36.51202749140893
GUTIERREZ CARLOS LUIS,1540,LRL,D,FT,R,25000,NA,35.787321063394685
TOLEDO JEVIAN,1760,LRL,D,FT,C,15000,5000,35.89590188453485
CHIRINOS ROIMES,1760,LRL,D,FT,AO,45000,28000,35.6753542760876
HAMILTON S D,1320,LRL,D,GD,C,15000,5000,37.974683544303794
LYNCH F,1320,LRL,D,FT,C,15000,5000,37.50520905681345
LYNCH F,1320,LRL,D,FT,C,15000,5000,38.39590443686007
LYNCH F,1210,LRL,D,FT,C,15000,5000,37.78625954198473
RODRIGUEZ ANGEL,1210,PEN,D,GD,C,12400,5000,37.78625954198473
PIMENTEL J,1210,LRL,D,SY,C,20000,10000,36.33827631772133
RODRIGUEZ ANGEL,1100,PEN,D,SY,C,20000,15000,37.94266441821247
ROSADO R J,1320,PRX,D,FT,C,23000,10000,37.0522848909016
CHIAPPE R,1320,LRL,D,FT,C,19000,10000,37.74640011184118
ARCE JOSUE',1320,PRX,D,SY,C,45000,20000,37.3237489632292
